energy x y z iso ld ab c_grazing ld_grazing c_pure ld_pure
-2.000000000000000000e+01 1.975844458290217825e-04 1.975843750530937226e-04 1.366105863385035828e-04 1.772598024068730474e-04 6.097382410255419683e-05 1.975844104410577661e-04 1.463054743674400526e-04 5.127893607361771349e-05 1.366105863385035828e-04 6.097382410255419683e-05
-1.998999999999999844e+01 2.059001910626352401e-04 2.059001173125237806e-04 1.423605470537384760e-04 1.847202851429658322e-04 6.353960713384103440e-05 2.059001541875795239e-04 1.524633966885115006e-04 5.343675749906800978e-05 1.423605470537384760e-04 6.353960713384103440e-05
-1.998000000000000043e+01 2.141881832467430594e-04 2.141881065329113477e-04 1.480913678570339935e-04 1.921558858788961245e-04 6.609677703279321010e-05 2.141881448898272171e-04 1.586008096025397999e-04 5.558733528728739692e-05 1.480913678570339935e-04 6.609677703279321010e-05
-1.996999999999999886e+01 2.224254520896913655e-04 2.224253724308495055e-04 1.537871687614337385e-04 1.995459977606582212e-04 6.863824349883668348e-05 2.224254122602704355e-04 1.647007057589635508e-04 5.772470650130688465e-05 1.537871687614337385e-04 6.863824349883668348e-05
-1.996000000000000085e+01 2.305895013258982317e-04 2.305894187488313025e-04 1.594323973619605702e-04 2.068704391455633953e-04 7.115706267540416975e-05 2.305894600373647400e-04 1.707464286739176194e-04 5.984303136344712058e-05 1.594323973619605702e-04 7.115706267540416975e-05
-1.994999999999999929e+01 2.386584967056267609e-04 2.386584112449563466e-04 1.650119587997959968e-04 2.141096222501264043e-04 7.364649517549557052e-05 2.386584539752915673e-04 1.767218119205244558e-04 6.193664205476711150e-05 1.650119587997959968e-04 7.364649517549557052e-05
-1.994000000000000128e+01 2.466114445267570798e-04 2.466113562246378282e-04 1.705113391889313715e-04 2.212447133134420570e-04 7.610006118676605541e-05 2.466114003756974269e-04 1.826113113172992818e-04 6.400008905839815862e-05 1.705113391889313715e-04 7.610006118676605541e-05
-1.992999999999999972e+01 2.544283582823393002e-04 2.544282671880960405e-04 1.759167208279393039e-04 2.282577820994582420e-04 7.851159190727836652e-05 2.544283127352176704e-04 1.884001283182484951e-04 6.602818441696916175e-05 1.759167208279393039e-04 7.851159190727836652e-05
-1.992000000000000171e+01 2.620904112314575572e-04 2.620903174011678821e-04 1.812150876810975769e-04 2.351319387712409964e-04 8.087527663521515626e-05 2.620903643163127197e-04 1.940743229812963292e-04 6.801604133501639045e-05 1.812150876810975769e-04 8.087527663521515626e-05
-1.991000000000000014e+01 2.695800729748254053e-04 2.695799764708528947e-04 1.863943198024276134e-04 2.418514564160352954e-04 8.318570492041150945e-05 2.695800247228391229e-04 1.996209150944515929e-04 6.995910962838752995e-05 1.863943198024276134e-04 8.318570492041150945e-05
-1.989999999999999858e+01 2.768812284237224630e-04 2.768811293142077056e-04 1.914432755885754145e-04 2.484018777755017887e-04 8.543790328038965620e-05 2.768811788689650301e-04 2.050279722665682136e-04 7.185320660239684354e-05 1.914432755885754145e-04 8.543790328038965620e-05
-1.989000000000000057e+01 2.839792778838322773e-04 2.839791762421474083e-04 1.963518609766200945e-04 2.547701050341998996e-04 8.762736608636974831e-05 2.839792270629898428e-04 2.102846840360548034e-04 7.369454302693503943e-05 1.963518609766200945e-04 8.762736608636974831e-05
-1.987999999999999901e+01 2.908612173261492157e-04 2.908611132303246991e-04 2.011110849452811078e-04 2.609444718339183318e-04 8.975008033295584962e-05 2.908611652782369574e-04 2.153814213104823544e-04 7.547974396775461654e-05 2.011110849452811078e-04 8.975008033295584962e-05
-1.987000000000000099e+01 2.975156982770963418e-04 2.975155918092250388e-04 2.057131009268413748e-04 2.669147970043875490e-04 9.180254411631934264e-05 2.975156450431606903e-04 2.203097807165535743e-04 7.720586432660711605e-05 2.057131009268413748e-04 9.180254411631934264e-05
-1.985999999999999943e+01 3.039330671209391696e-04 3.039329583665678299e-04 2.101512339866355424e-04 2.726724198247141716e-04 9.378177875711795741e-05 3.039330127437534727e-04 2.250626137071452912e-04 7.887039903660822209e-05 2.101512339866355424e-04 9.378177875711795741e-05
-1.985000000000000142e+01 3.101053839613875595e-04 3.101052730089001275e-04 2.144199938715399256e-04 2.782102169472758799e-04 9.568533461360389071e-05 3.101053284851438435e-04 2.296340405340872263e-04 8.047128795105659010e-05 2.144199938715399256e-04 9.568533461360389071e-05
-1.983999999999999986e+01 3.160264215281975600e-04 3.160263084682005401e-04 2.185150742632090983e-04 2.835226014198690661e-04 9.751129073498997885e-05 3.160263649981990500e-04 2.340194494462837622e-04 8.200691555191531499e-05 2.185150742632090983e-04 9.751129073498997885e-05
-1.982999999999999829e+01 3.216916449315760057e-04 3.216915298562897916e-04 2.224333387909505240e-04 2.886055045262720981e-04 9.925824860298237463e-05 3.216915873939328986e-04 2.382154817074868419e-04 8.347610568644607033e-05 2.224333387909505240e-04 9.925824860298237463e-05
-1.982000000000000028e+01 3.270981733559671727e-04 3.270980563586322297e-04 2.261727945587667518e-04 2.934563414244554299e-04 1.009253202985329495e-04 3.270981148572997283e-04 2.422200032418423093e-04 8.487811161545740543e-05 2.261727945587667518e-04 1.009253202985329495e-04
-1.980999999999999872e+01 3.322447250400638883e-04 3.322446062143661260e-04 2.297325541175733205e-04 2.980739617906677692e-04 1.025121115096416731e-04 3.322446656272150071e-04 2.460320639043343306e-04 8.621260172288063592e-05 2.297325541175733205e-04 1.025121115096416731e-04
-1.980000000000000071e+01 3.371315471073895115e-04 3.371314265469115695e-04 2.331127869639721241e-04 3.024585868727577170e-04 1.040186998631784028e-04 3.371314868271505405e-04 2.496518455343008720e-04 8.747964129284965492e-05 2.331127869639721241e-04 1.040186998631784028e-04
-1.978999999999999915e+01 3.417603319884387819e-04 3.417602097861406423e-04 2.363146617690851698e-04 3.066117345145548466e-04 1.054456091182045152e-04 3.417602708872896850e-04 2.530806000809840721e-04 8.867967080630564003e-05 2.363146617690851698e-04 1.054456091182045152e-04
-1.978000000000000114e+01 3.461341223092083376e-04 3.461339985569430121e-04 2.393402806334911587e-04 3.105361338332141333e-04 1.067937797995845161e-04 3.461340604330757019e-04 2.563205791891873188e-04 8.981348124388835604e-05 2.393402806334911587e-04 1.067937797995845161e-04
