energy x y z iso ld ab c_grazing ld_grazing c_pure ld_pure
-2.000000000000000000e+01 1.976962325399888643e-04 1.976961974983815532e-04 1.367105029947908218e-04 1.773676443443870888e-04 6.098571202439437343e-05 1.976962150191852088e-04 1.464072812130476223e-04 5.128893380613757969e-05 1.367105029947908218e-04 6.098571202439437343e-05
-1.998999999999999844e+01 2.060166840180116391e-04 2.060166474985902275e-04 1.424646675244078161e-04 1.848326663470032456e-04 6.355199823389311717e-05 2.060166657583009197e-04 1.525694873542494544e-04 5.344717840405148571e-05 1.424646675244078161e-04 6.355199823389311717e-05
-1.998000000000000043e+01 2.143093669132387622e-04 2.143093289205805891e-04 1.481996779484726242e-04 1.922727912607640280e-04 6.610966996843706505e-05 2.143093479169097028e-04 1.587111696813175998e-04 5.559817823559209618e-05 1.481996779484726242e-04 6.610966996843706505e-05
-1.996999999999999886e+01 2.225512979442548841e-04 2.225512584869985741e-04 1.538996426582641547e-04 1.996673996965058710e-04 6.865163555736256086e-05 2.225512782156267020e-04 1.648153090040806374e-04 5.773596921154606457e-05 1.538996426582641547e-04 6.865163555736256086e-05
-1.996000000000000085e+01 2.307199681233446998e-04 2.307199272141075203e-04 1.595489978672599840e-04 2.069962977349040680e-04 7.117094980146612606e-05 2.307199476687261236e-04 1.708652372436479021e-04 5.985471042507822153e-05 1.595489978672599840e-04 7.117094980146612606e-05
-1.994999999999999929e+01 2.387935308525815402e-04 2.387934885078430119e-04 1.651326376704217731e-04 2.142398856769487661e-04 7.366087200979050300e-05 2.387935096802122896e-04 1.768447767195916961e-04 6.194873296062059355e-05 1.651326376704217731e-04 7.366087200979050300e-05
-1.994000000000000128e+01 2.467509805565682411e-04 2.467509367965225781e-04 1.706360375611638391e-04 2.213793183047515437e-04 7.611492111538155695e-05 2.467509586765453825e-04 1.827383724303663023e-04 6.401258624617909372e-05 1.706360375611638391e-04 7.611492111538155695e-05
-1.992999999999999972e+01 2.545723194242431879e-04 2.545722742726219765e-04 1.760453697274266523e-04 2.283966544747639479e-04 7.852692712100595705e-05 2.545722968484326093e-04 1.885312155292929277e-04 6.604108131913966810e-05 1.760453697274266523e-04 7.852692712100595705e-05
-1.992000000000000171e+01 2.622387100660405037e-04 2.622386635499083032e-04 1.813476086099768654e-04 2.352749940753085574e-04 8.089107819799756511e-05 2.622386868079744035e-04 1.942093563716147913e-04 6.802933043635962568e-05 1.813476086099768654e-04 8.089107819799756511e-05
-1.991000000000000014e+01 2.697326121667373441e-04 2.697325643162635980e-04 1.865306253955281073e-04 2.419986006261763678e-04 8.320196284597239085e-05 2.697325882415004981e-04 1.997598057110472878e-04 6.997278253045321030e-05 1.865306253955281073e-04 8.320196284597239085e-05
-1.989999999999999858e+01 2.770379015216917684e-04 2.770378523699009495e-04 1.915832703297922683e-04 2.485530080737949864e-04 8.545460661600411774e-05 2.770378769457964132e-04 2.051706228518439560e-04 7.186725409395244358e-05 1.915832703297922683e-04 8.545460661600411774e-05
-1.989000000000000057e+01 2.841399701773015987e-04 2.841399197598060622e-04 1.964954419659025234e-04 2.549251106343367371e-04 8.764450300265133414e-05 2.841399449685538575e-04 2.104309898090776939e-04 7.370895515947613655e-05 1.964954419659025234e-04 8.764450300265133414e-05
